Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4
03/01/00,4.18753,4.18753,4.06064,4.08992,513000,3.60628,,,,,
04/01/00,4.05088,4.06064,3.88494,3.96302,1758800,3.49439,-0.031026432,,,,
05/01/00,3.90446,3.96302,3.81661,3.8947,1732400,3.43414,-0.017241922,,,,
06/01/00,3.95326,3.96302,3.88494,3.96302,2257200,3.49439,0.017544422,,,,
07/01/00,4.00207,4.08016,3.98255,4.04111,2395500,3.56324,0.01970301,0.017544422,-0.017241922,-0.031026432,0
10/01/00,4.08016,4.08016,3.99231,4.01183,778800,3.53742,-0.007246214,0.01970301,0.017544422,-0.017241922,-0.031026432
11/01/00,4.2461,4.39252,4.08992,4.12896,6597700,3.6407,0.02919642,-0.007246214,0.01970301,0.017544422,-0.017241922
12/01/00,4.13873,4.13873,4.00207,4.08016,3991400,3.59767,-0.011819156,0.02919642,-0.007246214,0.01970301,0.017544422
13/01/00,4.1192,4.1192,4.03135,4.0704,2519900,3.58907,-0.002390436,-0.011819156,0.02919642,-0.007246214,0.01970301
14/01/00,4.17777,4.2949,4.13873,4.2949,4756700,3.78702,0.055153563,-0.002390436,-0.011819156,0.02919642,-0.007246214
17/01/00,4.2949,4.2949,4.2949,4.2949,0,3.78702,0,0.055153563,-0.002390436,-0.011819156,0.02919642
18/01/00,4.2949,4.2949,4.2949,4.2949,0,3.78702,0,0,0.055153563,-0.002390436,-0.011819156
19/01/00,4.2949,4.2949,3.93374,3.98255,12295500,3.51161,-0.072724728,0,0,0.055153563,-0.002390436
20/01/00,4.02159,4.05088,3.93374,4.02159,8374700,3.54603,0.009801772,-0.072724728,0,0,0.055153563
21/01/00,3.99231,4.02159,3.98255,4.00207,2013500,3.52882,-0.004853315,0.009801772,-0.072724728,0,0
24/01/00,4.02159,4.02159,3.9435,3.96302,1416200,3.49439,-0.009756803,-0.004853315,0.009801772,-0.072724728,0
25/01/00,3.93374,3.96302,3.8947,3.90446,1740800,3.44275,-0.014777973,-0.009756803,-0.004853315,0.009801772,-0.072724728
26/01/00,3.91422,3.9435,3.91422,3.91422,1553800,3.45136,0.002500908,-0.014777973,-0.009756803,-0.004853315,0.009801772
27/01/00,3.9435,3.9435,3.8947,3.8947,1242400,3.43414,-0.004989338,0.002500908,-0.014777973,-0.009756803,-0.004853315
28/01/00,3.8947,3.90446,3.82637,3.88494,2258000,3.42554,-0.002504266,-0.004989338,0.002500908,-0.014777973,-0.009756803
31/01/00,3.85565,3.85565,3.81661,3.85565,1465600,3.39971,-0.007540417,-0.002504266,-0.004989338,0.002500908,-0.014777973
01/02/00,3.85565,3.88494,3.83613,3.83613,1090200,3.3825,-0.005062196,-0.007540417,-0.002504266,-0.004989338,0.002500908
02/02/00,3.87517,3.88494,3.82637,3.88494,1541000,3.42554,0.012724316,-0.005062196,-0.007540417,-0.002504266,-0.004989338
03/02/00,3.88494,3.93374,3.86541,3.92398,1687300,3.45996,0.010048051,0.012724316,-0.005062196,-0.007540417,-0.002504266
04/02/00,3.90446,3.97279,3.90446,3.92398,2101000,3.45996,0,0.010048051,0.012724316,-0.005062196,-0.007540417
07/02/00,3.91422,3.93374,3.88494,3.92398,1658600,3.45996,0,0,0.010048051,0.012724316,-0.005062196
08/02/00,3.90446,3.92398,3.88494,3.90446,2408800,3.44275,-0.004974046,0,0,0.010048051,0.012724316
09/02/00,3.8947,4.05088,3.8947,3.9435,2060400,3.47717,0.009997822,-0.004974046,0,0,0.010048051
10/02/00,3.91422,3.91422,3.87517,3.90446,941200,3.44275,-0.009898855,0.009997822,-0.004974046,0,0
11/02/00,3.8947,3.91422,3.85565,3.88494,1533900,3.42554,-0.004998911,-0.009898855,0.009997822,-0.004974046,0
14/02/00,3.86541,3.8947,3.83613,3.84589,1835100,3.39111,-0.01005097,-0.004998911,-0.009898855,0.009997822,-0.004974046
15/02/00,3.86541,3.91422,3.83613,3.88494,1703100,3.42554,0.010153018,-0.01005097,-0.004998911,-0.009898855,0.009997822
16/02/00,3.87517,3.88494,3.82637,3.84589,1864900,3.39111,-0.01005097,0.010153018,-0.01005097,-0.004998911,-0.009898855
17/02/00,3.83613,3.86541,3.82637,3.84589,1092800,3.39111,0,-0.01005097,0.010153018,-0.01005097,-0.004998911
18/02/00,3.82637,3.85565,3.78732,3.83613,2088000,3.3825,-0.002538992,0,-0.01005097,0.010153018,-0.01005097
21/02/00,3.80685,3.82637,3.77756,3.79709,681300,3.34808,-0.010175905,-0.002538992,0,-0.01005097,0.010153018
22/02/00,3.80685,3.82637,3.7678,3.77756,600700,3.33086,-0.005143246,-0.010175905,-0.002538992,0,-0.01005097
23/02/00,3.80685,3.81661,3.78732,3.80685,1008600,3.35668,0.007751752,-0.005143246,-0.010175905,-0.002538992,0
24/02/00,3.82637,3.83613,3.75804,3.77756,1764200,3.33086,-0.007692124,0.007751752,-0.005143246,-0.010175905,-0.002538992
25/02/00,3.79709,3.80685,3.75804,3.80685,852800,3.35668,0.007751752,-0.007692124,0.007751752,-0.005143246,-0.010175905
28/02/00,3.79709,3.84589,3.78732,3.84589,623400,3.39111,0.010257159,0.007751752,-0.007692124,0.007751752,-0.005143246
29/02/00,3.85565,3.86541,3.73852,3.7678,1268000,3.32225,-0.020306035,0.010257159,0.007751752,-0.007692124,0.007751752
